Brewery name,City,State,Alex
Cannonball Creek,Golden,CO,8/23/2018
Alpine Dog,Denver,CO,8/27/2018
Ursula,Aurora,CO,9/1/2018
Lamplighter,Cambridge,MA,9/4/2018
Sam Adams,Boston,MA,9/5/2018
Grimm,Brooklyn,NY,9/7/2018
Launch Pad,Aurora,CO,9/19/2018
Oasis,Denver,CO,9/28/2018
Blind Faith/DeSteeg,Denver,CO,10/3/2018
Pueblo Vida,Tucson,AZ,10/12/2018
Borderlands,Tucson,AZ,10/12/2018
1912,Tucson,AZ,10/12/2018
The Perch,Chandler,AZ,10/12/2018
Cerberus,Colorado Springs,CO,10/20/2018
Metric,Colorado Springs,CO,10/20/2018
Goat Patch,Colorado Springs,CO,10/20/2018
Something,Brighton,CO,11/4/2018
Big Choice,Brighton,CO,11/4/2018
Left Hand,Longmont,CO,11/7/2018
Horse and Dragon,Fort Collins,CO,11/11/2018
Coopersmiths,Fort Collins,CO,11/11/2018
Purpose,Fort Collins,CO,11/11/2018
Second Street,Santa Fe,NM,11/23/2018
Santa Fe,Santa Fe,NM,11/23/2018
Boxing Bear,Albuquerque,NM,11/24/2018
Bosque,Albuquerque,NM,11/24/2018
Bow and Arrow,Albuquerque,NM,11/24/2018
Rowley Farmhouse Ales,Santa Fe,NM,11/25/2018
Kokopelli,Westminster,CO,11/27/2018
Someplace Else,Arvada,CO,11/30/2018
Brewery Rickoli,Wheat Ridge,CO,12/2/2018
Diebolt,Denver,CO,12/2/2018
Factotum / Lady Justice,Denver,CO,12/2/2018
Seedstock,Denver,CO,12/2/2018
Long Table,Denver,CO,12/7/2018
Fifth Hammer,Queens,NY,12/12/2018
Community Beer Works,Buffalo,NY,12/15/2018
Icarus,Lakewood,NJ,12/29/2018
Heavy Reel,Seaside Heights,NJ,12/30/2018
Very Nice,Nederland,CO,1/5/2019
Rails End,Broomfield,CO,1/20/2019
Woods Boss,Denver,CO,2/1/2019
Renegade,Denver,CO,2/2/2019
Richter Aleworks,Peoria,AZ,2/25/2019
Mother Bunch,Phoenix,AZ,2/25/2019
Broxton,Los Angeles,CA,3/1/2019
Firestone Walker,Los Angeles,CA,3/1/2019
Zion Brewery,Springdale,UT,3/25/2019
Fisher,Salt Lake City,UT,3/27/2019
Kiitos,Salt Lake City,UT,3/27/2019
Hopkins,Salt Lake City,UT,3/27/2019
Shades,Salt Lake City,UT,3/28/2019
Grossen Bart,Longmont,CO,4/7/2019
Cellar West,Lafayette,CO,4/7/2019
Paradox,Divide,CO,4/14/2019
Black Sky,Denver,CO,4/17/2019
Flyte,Denver,CO,4/19/2019
Empourium,Denver,CO,4/19/2019
The Grateful Gnome,Denver,CO,4/19/2019
Denver Chophouse & Brewery,Denver,CO,5/3/2019
Briar Common,Denver,CO,5/10/2019
Coda,Golden,CO,5/23/2019
Green Mountain,Lakewood,CO,5/24/2019
Sanitas,Boulder,CO,5/25/2019
Hudson Valley,Beacon,NY,5/31/2019
Iconyc,Queens,NY,6/2/2019
Over Yonder,Golden,CO,6/7/2019
Endo,Louisville,CO,6/9/2019
Aspen,Aspen,CO,6/15/2019
Fraser River,Fraser,CO,6/29/2019
Camber,Fraser,CO,6/29/2019
Platt Park,Denver,CO,7/2/2019
Wiley Roots,Greeley,CO,7/4/2019
Ohm,Golden,CO,7/11/2019
Storm Peak,Steamboat Springs,CO,7/13/2019
Butcherknife,Steamboat Springs,CO,7/13/2019
Masthead,Cleveland,OH,7/26/2019
Great Lakes,Cleveland,OH,7/27/2019
Forest City,Cleveland,OH,7/27/2019
Sato,Buffalo,NY,7/30/2019
Steelbound,Ellicottville,NY,8/1/2019
Spring House,Lancaster,PA,8/6/2019
Mikkeller,Queens,NY,8/21/2019
Bristol,Colorado Springs,CO,9/1/2019
Living the Dream,Littleton,CO,9/8/2019
Grist,Highlands Ranch,CO,9/8/2019
Eldo,Created Butte,CO,9/21/2019
Gunbarrel,Boulder,CO,10/4/2019
Beyond the Mountain,Boulder,CO,10/4/2019
Evil Twin,Queens,NY,10/14/2019
Queens Brewery,Queens,NY,10/14/2019
High Alpine,Gunnison,CO,11/1/2019
Triumph,Red Bank,NJ,11/25/2019
Fort Nonsense,Denville,NJ,11/29/2019
Four City,Orange,NJ,11/30/2019
Tivoli,Denver,CO,12/12/2019
Black Forest,Colorado Springs,CO,12/14/2019
In the Mix,Barker,NY,12/26/2019
Live Edge,Burt,NY,12/26/2019
Prosper,North Tonawanda,NY,12/26/2019
Bandit,Toronto,Canada,12/27/2019
Halo,Toronto,Canada,12/27/2019
Pure Project,San Diego,CA,1/18/2020
AleSmith,San Diego,CA,1/18/2020
Longship,San Diego,CA,1/18/2020
Pariah,San Diego,CA,1/19/2020
Ballast Point,San Diego,CA,1/19/2020
Stone,San Diego,CA,1/20/2020
Blue Spruce,Littleton,CO,2/1/2020
Chain Reaction,Denver,CO,2/1/2020
Burns Family Artisan Ales,Denver,CO,2/1/2020
Finkel and Garf,Boulder,CO,2/7/2020
Crystal Springs,Louisville,CO,2/7/2020
Counter Culture,Denver,CO,2/8/2020
ABGB,Austin,TX,2/14/2020
Zilker,Austin,TX,2/14/2020
Lazarus,Austin,TX,2/14/2020
Central District,Austin,TX,2/15/2020
Family Business,Dripping Springs,TX,2/16/2020
Jester King,Austin,TX,2/16/2020
Good River,Denver,CO,2/29/2020
